Name,Adress,Phone,Email
Direction régionale des Domaines de l'Etat de Mahdia,"Rue salem ben salem, ezzahra, Mahdia, 5111",73696582,73680595
Direction régionale des Domaines de l'Etat de Médenine,"route de gabés, Médenine , 4100",75646445,75600345
Direction régionale des Domaines de l'Etat de Monastir,"avenue 7 novembre, monastir, 5000",73463791,73461672
Direction régionale des Domaines de l'Etat de Sfax,"11, Rue Ali Bach Hamba - Sfax",74221543,74296256
Direction régionale des Domaines de l'Etat de Sidi Bouzid,"Avenue Habib Bourguiba - Sidi Bouzid, 9100",76633627,76633148
Direction régionale des Domaines de l'Etat de Sousse,"Cité Essafaya prés du clinique essalem, sousse, 4000",73229788,73225011
Direction régionale des Domaines de l'Etat et des affaires foncières de Manouba,Cité Bouchoucha - le Bardo,70614292,70614291
Direction régionale des domaines de l’état & des affaires foncières du Kéf,"Place des martyrs à coté de siège Du gouvernorat elkef, 7100",78204253,78204066
Direction régionale du transport - ARIANA,"ARIANA /.02 Rue al-eklil, 2080",71.723.925,71.723.928
Direction régionale du transport - BEN AROUS,"05 Rue Fayçal ibn Abdelaziz – nouvelle ville -          BEN AROUS, 2063",+216 79 354 935,79.354.935
